74DA38C7D080	桃園市上大國小(2017)	32845桃園市觀音區上大里大湖路一段540號
74DA38C7D04A	桃園市育仁國小(2017)	32842桃園市觀音區坑尾里4鄰育仁路二段1號
74DA38C7D082	桃園市草漯國小(2017)	32847桃園市觀音區草新里2鄰新生路1462號
74DA38C7D044	桃園市富林國小(2017)	32849桃園市觀音區富林里5鄰8-2號
74DA38C7D40E	桃園市樹林國小(2017)	32844桃園市觀音區樹林里新村路二段12號
74DA38C7D040	桃園市新屋國小(2017)	32750桃園市新屋區中正路196號
74DA38C7D042	桃園市啟文國小(2017)	32742桃園市新屋區清華里新文路762號
74DA38C7D03E	桃園市東明國小(2017)	32747桃園巿新屋區中山西路一段474號
74DA38C7D03C	桃園市頭洲國小(2017)	32741桃園市新屋區中山東路五段668巷64號
74DA38C7D400	桃園市永安國小(2017)	332744桃園市新屋區中山西路二段1320號
74DA38C7D030	桃園市笨港國小(2017)	32748桃園市新屋區笨港里文學路22號
74DA38C7D02E	桃園市北湖國小(2017)	32743桃園市新屋區東興路二段780號
74DA38C7D414	桃園市大坡國小(2017)	32745桃園市新屋區大坡里5鄰5號
74DA38C7D03A	桃園市蚵間國小(2017)	32745桃園市新屋區文化路1段636號
74DA38C7D032	桃園市社子國小(2017)	32746桃園市新屋區社子里社福路235號
74DA38C7D038	桃園市埔頂國小(2017)	32749桃園市新屋區中華南路二段50號
74DA38C7D022	桃園市介壽國小(2017)	33641 桃園市復興區澤仁里中正路33號
74DA38C7D036	桃園市三民國小(2017)	33642 桃園市復興區三民里11鄰水流東57號
74DA38C7D034	桃園市義盛國小(2017)	33643桃園市復興區義盛里1鄰11號
74DA38C7D024	桃園市霞雲國小(2017)	33643 桃園市復興區霞雲里6鄰14號
74DA38C7D0BE	桃園市奎輝國小(2017)	33643桃園市復興區奎輝里3鄰25號
74DA38C7D3EE	桃園市光華國小(2017)	33644桃園市復興區華陵里4鄰哈嘎灣12號
74DA38C7D0C8	桃園市高義國小(2017)	33644桃園縣復興鄉高義村3鄰28號
74DA38C7D0D2	桃園市長興國小(2017)	33643桃園市復興區長興里16鄰頭角43號
74DA38C7D0C6	桃園市三光國小(2017)	33643桃園市復興區三光村 6 鄰 7號
74DA38C7D0D4	桃園市羅浮國小(2017)	33643桃園市復興區羅浮里3鄰16號
74DA38C7D0D0	桃園市巴崚國小(2017)	33644桃園市復興區華陵里9鄰75號
74DA38C7D0D6	桃園市桃園市政府地方稅務局(2017)	桃園市桃園區成功路2段179號
74DA38C7D3EC	桃園市桃園市政府地方稅務局楊梅分局(2017)	桃園市楊梅區中山路212號
74DA38C7D3F6	桃園市桃園市政府地方稅務局大溪分局(2017)	桃園市大溪區員林路1段16號
74DA38C7D15E	桃園市桃園市政府地方稅務局蘆竹分局(2017)	桃園市蘆竹區南崁路150號2樓
74DA38C7D0CA	桃園市桃園市八德地政事務所(2017)	桃園市八德區重慶街146號
74DA38C7D0CE	桃園市桃園市中壢地政事務所(2017)	桃園市中壢區中央西路二段30號3~5樓
74DA38C7D0E2	桃園市桃園市平鎮地政事務所(2017)	桃園市平鎮區環南路二段276號
74DA38C7D0E4	桃園市桃園市楊梅地政事務所(2017)	桃園市楊梅區校前路411號
74DA38C7D0BC	桃園市桃園市大溪地政事務所(2017)	桃園市大溪區康莊路95號
74DA38C7D0C2	桃園市桃園市蘆竹地政事務所(2017)	桃園市蘆竹區長安路二段236號
74DA38C7D3EA	桃園市桃園市北區老人文康活動中心(2017)	桃園市桃園區公園路129號
74DA38C7D3E8	桃園市中壢社福館(2017)	桃園市中壢區元化路159號1樓
74DA38C7D0CC	桃園市八德區衛生所(2017)	桃園市八德區介壽路2段361巷28號
74DA38C7D1A0	桃園市平鎮區衛生所(2017)	桃園市平鎮區新富里振興路1號
74DA38C7D1A4	桃園市大溪區衛生所(2017)	桃園市大溪區仁愛路1號
74DA38C7D1A2	桃園市大園區衛生所(2017)	桃園市大園區中正西路19號
74DA38C7D1A6	桃園市龍潭區衛生所(2017)	桃園市龍潭區中山里大昌路一段277號2樓
74DA38C7D19C	桃園市觀音區衛生所(2017)	桃園市觀音區觀新路58號
74DA38C7D30E	桃園市復興區衛生所(2017)	桃園市復興區澤仁里中正路25號
74DA38C7D1AA	桃園市桃園區戶政事務所(2017)	桃園市桃園區國豐三街123號
74DA38C7D312	桃園市殯葬管理所桃園區服務中心(2017)	桃園市桃園區大有路916號
74DA38C7D1B2	桃園市八德區戶政事務所(2017)	桃園市八德區興豐路304巷2號
74DA38C7D30C	桃園市龜山區戶政事務所(2017)	桃園市龜山區自強南路99號
74DA38C7D1B4	桃園市中壢區戶政事務所(2017)	桃園市中壢區溪洲街298號
74DA38C7D314	桃園市殯葬管理所中壢區殯葬服務中心(2017)	桃園市中壢區培英路289號
74DA38C7D1B8	桃園市平鎮區戶政事務所(2017)	桃園市平鎮區德育路242號
74DA38C7D308	桃園市大溪區戶政事務所(2017)	桃園市大溪區康莊路181號四樓
74DA38C7D19E	桃園市大園區戶政事務所(2017)	桃園市大園區中山北路162號
74DA38C7D1A8	桃園市龍潭區戶政事務所(2017)	桃園市龍潭區中正路210號二樓
74DA38C7D1AE	桃園市新屋區戶政事務所(2017)	桃園市新屋區中山路241號三樓
74DA38C7D1AC	桃園市觀音區戶政事務所(2017)	桃園市觀音區觀和路28號
74DA38C7D1B6	桃園市復興區戶政事務所(2017)	桃園市復興區中正路180號
74DA38C7D1B0	桃園市桃園市政府文化局演藝廳(2017)	桃園市桃園區縣府路21號1樓
74DA38C7D0E0	桃園市桃園光影文化館(2017)	桃園市桃園區埔新路12號
74DA38C7D0EE	桃園市會稽分館(2017)	桃園市桃園區自強路217號
74DA38C7D0A6	桃園市桃園市政府藝文設施管理中心(2017)	桃園市桃園區中正路1188號
74DA38C7D0EC	桃園市八德分館(2017)	桃園市八德區興豐路264號
