74DA3895E116	高雄市西門國小	高雄市內門區內東里柿子園24號
74DA3895E104	高雄市溪埔國小	高雄市大樹區溪埔里43號
74DA3895E118	高雄市文府國小	高雄市左營區文府路399號
74DA3895E154	高雄市莊敬國小	高雄市三民區大昌一路200號
74DA3895E122	高雄市民族國小	高雄市三民區平等路197號
74DA3895DF8A	高雄市獅湖國小	高雄市三民區鼎金後路495號
74DA3895DEE0	高雄市博愛國小	高雄市三民區十全一路202號
74DA3895E15A	高雄市正興國小	高雄市三民區大豐二路20號
74DA3895E156	高雄市十全國小	高雄市三民區十全二路162號
74DA3895E152	高雄市愛國國小	高雄市三民區十全一路1號
74DA3895E150	高雄市鼎金國小	高雄市三民區鼎山街375號
74DA3895E14A	高雄市三民國小	高雄市三民區建國三路216號
74DA3895E148	高雄市集來國小	高雄市杉林區集來里通仙巷333號
74DA3895E146	高雄市忠孝國小	高雄市鳳山區新富路630號
74DA3895DEAA	高雄市杉林國小	高雄市杉林區杉林里合森巷41號
74DA3895DEAC	高雄市林園國小	高雄市林園區忠孝西路20號
74DA3895DEAE	高雄市中芸國小	高雄市林園區中芸里中芸路1號
74DA3895DEA0	高雄市內門國小	高雄市內門區內豐里內埔24號
74DA3895DE9C	高雄市港埔國小	高雄市林園區頂厝里校前路1號
74DA3895DE9E	高雄市觀亭國小	高雄市內門區觀亭里中正路203號
74DA3895DE9A	高雄市屏山國小	高雄市左營區海功東路2號
74DA3895DE98	高雄市永清國小	高雄市左營區左營大路2之2號
74DA3895DE96	高雄市中山國小	高雄市鳳山區光復路一段120巷8號
74DA3895DE94	高雄市新上國小	高雄市左營區大順一路100號
74DA3895DF04	高雄市新甲國小	高雄市鳳山區新富路255號
74DA3895DF02	高雄市新莊國小	高雄市左營區自由三路1號
74DA3895DEF8	高雄市新民國小	高雄市左營區自由三路478號
74DA3895DEFA	高雄市明德國小	高雄市左營區海富路2號
74DA3895DEF4	高雄市新威國小	高雄市六龜區新興里新威212號
74DA3895DEF6	高雄市勝利國小	高雄市左營區南屏路1號
74DA3895DEFC	高雄市寶來國小	高雄市六龜區寶來里中正路89號
74DA3895DEEA	高雄市金潭國小	高雄市林園區中厝里金潭路40號
74DA3895DEEC	高雄市月美國小	高雄市杉林區月眉里清水路象寮巷39號
74DA3895DEEE	高雄市汕尾國小	高雄市林園區中汕里北汕路58巷2號
74DA3895E136	高雄市上平國小	高雄市杉林區上平里山仙路212號
74DA3895E138	高雄市永芳國小	高雄市大寮區鳳林三路499號
74DA3895E13A	高雄市左營國小	高雄市左營區實踐路42號
74DA3895E13C	高雄市新庄國小	高雄市杉林區司馬路45巷5號
74DA3895E14E	高雄市翁園國小	高雄市大寮區翁園里翁園路79號
74DA3895E13E	高雄市舊城國小	高雄市左營區蓮潭路47號
74DA3895E144	高雄市山頂國小	高雄市大寮區山頂里山頂路211號
74DA3895E12A	高雄市文山國小	高雄市鳳山區鳳松路25巷20號
