74DA38F20808	高雄市市立翁園國小	高雄市翁園國小 高雄市大寮區翁園里翁園路79號
74DA38F20804	高雄市市立舊城國小	高雄市舊城國小 高雄市左營區蓮潭路47號
74DA38F207FC	高雄市市立山頂國小	高雄市山頂國小 高雄市大寮區山頂里山頂路211號
74DA38F207F6	高雄市市立文山國小	高雄市文山國小 高雄市鳳山區鳳松路25巷20號
74DA38F207EA	高雄市市立中正國小	高雄市中正國小 高雄市鳳山區勝利路2號
74DA38F207F0	高雄市市立鳳山國小	高雄市鳳山國小 高雄市鳳山區中山路231號
74DA38F207DE	高雄市市立正義國小	高雄市正義國小 高雄市鳳山區正義里南昌街55號
74DA38F20BB2	高雄市市立大東國小	高雄市大東國小 高雄市鳳山區大東一路1號
74DA38F20D06	高雄市市立福誠國小	高雄市福誠國小 高雄市鳳山區忠誠路145號
74DA38F21154	高雄市市立誠正國小	高雄市誠正國小 高雄市鳳山區黃埔新村國校巷78號
74DA38F2107E	高雄市市立觀音國小	高雄市觀音國小 高雄市大社區觀音里文明路100號
74DA38F2097A	高雄市市立南成國小	高雄市南成國小 高雄市鳳山區南和街101號
74DA38F20806	高雄市市立竹後國小	高雄市竹後國小 高雄市仁武區竹後里竹楠路250號
74DA38F20800	高雄市市立五甲國小	高雄市五甲國小 高雄市鳳山區五甲二路424號
74DA38F207FA	高雄市市立登發國小	高雄市登發國小 高雄市仁武區仁和里仁忠路191號
74DA38F20802	高雄市市立曹公國小	高雄市曹公國小 高雄市鳳山區曹公路6號
74DA38F20BBC	高雄市市立竹圍國小	高雄市竹圍國小 高雄市岡山區竹圍里大仁北路1號
74DA38F20BB4	高雄市市立文德國小	高雄市文德國小 高雄市鳳山區文衡路356號
74DA38F20BB0	高雄市市立大汕國小	高雄市大汕國小 高雄市旗津區中洲二路203號
74DA38F20BAC	高雄市市立瑞興國小	高雄市瑞興國小 高雄市鳳山區博愛路271號
74DA38F20BBA	高雄市市立旗津國小	高雄市旗津國小 高雄市旗津區中洲三路623號
74DA38F20BBE	高雄市市立五福國小	高雄市五福國小 高雄市鳳山區五福里福德街145號
74DA38F20B1A	高雄市市立鳳西國小	高雄市鳳西國小 高雄市鳳山區光華東路100號
74DA38F20BC0	高雄市市立維新國小	高雄市維新國小 高雄市永安區維新路光明九巷69-10號
74DA38F20B14	高雄市市立中洲國小	高雄市中洲國小 高雄市旗津區旗津二路275號
74DA38F20EE6	高雄市市立寶山國小	高雄市寶山國小 高雄市桃源區寶山里2鄰15號
74DA38F20B10	高雄市市立樟山國小	高雄市樟山國小 高雄市桃源區拉芙蘭里南公路五段440號
74DA38F20B00	高雄市市立鎮北國小	高雄市鎮北國小 高雄市鳳山區鳳北路170號
74DA38F20B12	高雄市市立多納國小	高雄市多納國小 高雄市茂林區多納里1-2號
74DA38F20B16	高雄市市立桃源國小	高雄市桃源國小 高雄市桃源區北進巷50號
74DA38F20B06	高雄市市立建山國小	高雄市建山國小 高雄市桃源區建山里96號
74DA38F20B08	高雄市市立興中國小	高雄市興中國小 高雄市桃源區高中里興中巷44號
74DA38F20AF2	高雄市市立民族大愛國小	高雄市民族大愛國小 高雄市杉林區月眉里和氣街15號
74DA38F20B0C	高雄市市立民生國小	高雄市民生國小 高雄市那瑪夏區達卡努瓦里大光巷七鄰159號
74DA38F20B0E	高雄市市立茂林國小	高雄市茂林國小 高雄市茂林區茂林里4-3號
74DA38F20BAE	高雄市市立四維國小	高雄市四維國小 高雄市苓雅區青年一路103號
74DA38F20F38	高雄市市立凱旋國小	高雄市凱旋國小 高雄市苓雅區憲政路235號
74DA38F20F30	高雄市市立五權國小	高雄市五權國小 高雄市苓雅區三多二路100號
74DA38F20F32	高雄市市立成功國小	高雄市成功國小 高雄市苓雅區華新街59號
74DA38F20F2E	高雄市市立福康國小	高雄市福康國小 高雄市苓雅區漢陽街17號
74DA38F20F34	高雄市市立中正國小	高雄市中正國小 高雄市苓雅區輔仁路100號
74DA38F20FF0	高雄市市立福東國小	高雄市福東國小 高雄市苓雅區福德三路96號
74DA38F2100C	高雄市市立苓洲國小	高雄市苓洲國小 高雄市苓雅區四維四路61號
74DA38F21006	高雄市市立龍山國小	高雄市龍山國小 高雄市美濃區龍山街62號
74DA38F2100A	高雄市市立廣興國小	高雄市廣興國小 高雄市美濃區興隆里廣興街124號
