08BEAC245E7E	屏東縣縣立餉潭國小(2020)	[925]屏東縣新埤鄉餉潭村龍潭路149號
08BEAC245E64	屏東縣縣立新埤國中(2020)	[925]屏東縣新埤鄉建功路190號
08BEAC245E6E	屏東縣縣立新園國小(2020)	[932]屏東縣新園鄉新園村媽祖路49號
08BEAC245E5A	屏東縣縣立仙吉國小(2020)	[932]屏東縣新園鄉仙吉村仙吉路91號
08BEAC245E48	屏東縣縣立烏龍國小(2020)	[932]屏東縣新園鄉南龍村南興路217號
08BEAC245E6A	屏東縣縣立港西國小(2020)	[932]屏東縣新園鄉港西村中和路101號
08BEAC245E76	屏東縣縣立鹽洲國小(2020)	[932]屏東縣新園鄉鹽埔村鹽洲路379號
08BEAC245E46	屏東縣縣立瓦磘國小(2020)	[932]屏東縣新園鄉瓦磘村四環路3號
08BEAC245E74	屏東縣縣立新園國中(2020)	[932]屏東縣新園鄉仙吉村仙吉路111號
08BEAC245E66	屏東縣縣立楓林國小(2020)	[943]屏東縣獅子鄉楓林村楓林2巷22-2號
08BEAC245E68	屏東縣縣立丹路國小(2020)	[943]屏東縣獅子鄉丹路村丹路1巷39號
08BEAC245E44	屏東縣縣立內獅國小(2020)	[943]屏東縣獅子鄉內獅村1號
08BEAC245E1C	屏東縣縣立草埔國小(2020)	[943]屏東縣獅子鄉草埔村1巷5號
08BEAC252AA2	屏東縣縣立萬丹國小(2020)	[913]屏東縣萬丹鄉寶厝村萬新路1497號
08BEAC245F70	屏東縣縣立萬丹國小竹林分校(2020)	[913]屏東縣萬丹鄉竹林村竹林路351號
08BEAC245FB6	屏東縣縣立新庄國小(2020)	[913]屏東縣萬丹鄉新庄村新鐘路410號
08BEAC245E54	屏東縣縣立興華國小(2020)	[913]屏東縣萬丹鄉崙頂村崙頂路860號
08BEAC245E50	屏東縣縣立新興國小(2020)	[913]屏東縣萬丹鄉灣內村聖賢路241號
08BEAC245FBA	屏東縣縣立社皮國小(2020)	[913]屏東縣萬丹鄉社口村社皮路2段550號
08BEAC245F14	屏東縣縣立廣安國小(2020)	[913]屏東縣萬丹鄉廣安村廣志街8巷15號
08BEAC245F68	屏東縣縣立興化國小(2020)	[913]屏東縣萬丹鄉興全村興國路52號
08BEAC252874	屏東縣縣立四維國小(2020)	[913]屏東縣萬丹鄉四維村四維東路567號
08BEAC245F10	屏東縣縣立萬丹國中(2020)	[913]屏東縣萬丹鄉四維村萬丹路2段5號
08BEAC245F6E	屏東縣縣立萬新國中(2020)	[913]屏東縣萬丹鄉新鐘村新鐘路8號
08BEAC252A70	屏東縣縣立萬巒國小(2020)	[923]屏東縣萬巒鄉萬全村褒忠路28號
08BEAC252954	屏東縣縣立五溝國小(2020)	[923]屏東縣萬巒鄉五溝村西盛路89號
08BEAC245F22	屏東縣縣立佳佐國小(2020)	[923]屏東縣萬巒鄉佳和村佳興路59號
08BEAC252A76	屏東縣縣立佳佐國小-中興分校(2020)	[923]屏東縣萬巒鄉新置村中興路27號
08BEAC245FC0	屏東縣縣立赤山國小(2020)	[923]屏東縣萬巒鄉赤山村建興路40號
08BEAC252956	屏東縣縣立萬巒國中(2020)	[923]屏東縣萬巒鄉萬和村褒忠路5號
08BEAC252C52	屏東縣縣立滿州國小(2020)	[947]屏東縣滿州鄉滿州村中山路39號
08BEAC252ABC	屏東縣縣立長樂國小(2020)	[947]屏東縣滿州鄉長樂村大公路35號
08BEAC252A9C	屏東縣縣立永港國小(2020)	[947]屏東縣滿州鄉永靖村新庄路25號
08BEAC252AAA	屏東縣縣立滿州國中(2020)	[947]屏東縣滿州鄉文化路32號
08BEAC252C68	屏東縣縣立佳義國小(2020)	[903]屏東縣瑪家鄉佳義村泰平巷12號
08BEAC245D82	屏東縣縣立北葉國小(2020)	[903]屏東縣瑪家鄉北葉村風景巷1-22號
08BEAC252C2C	屏東縣縣立長榮百合國小(2020)	[903]屏東縣瑪家鄉瑪家村和平路一段65號
08BEAC252C6C	屏東縣縣立瑪家國中(2020)	[903]屏東縣瑪家鄉三和村三和巷16號
08BEAC25281E	屏東縣縣立潮州國小(2020)	[920]屏東縣潮州鎮同榮里育英路31號
08BEAC252C2A	屏東縣縣立光春國小(2020)	[920]屏東縣潮州鎮光春里志成路201號
08BEAC252B60	屏東縣縣立光華國小(2020)	[920]屏東縣潮州鎮光華里南進路2號
08BEAC252C32	屏東縣縣立四林國小(2020)	[920]屏東縣潮州鎮泗林里開元路2巷1號
08BEAC252C48	屏東縣縣立潮南國小(2020)	[920]屏東縣潮州鎮興美里興美路24號
08BEAC252C38	屏東縣縣立潮東國小(2020)	[920]屏東縣潮州鎮九塊里復興路66號
08BEAC252888	屏東縣縣立潮州國中(2020)	[920]屏東縣潮州鎮文化路66號
08BEAC2529EC	屏東縣縣立光春國中(2020)	[920]屏東縣潮州鎮光春路290號
08BEAC2529CE	屏東縣縣立潮昇國小(2020)	[920]屏東縣潮州鎮北門路25號
08BEAC2529BE	屏東縣縣立潮和國小(2020)	[920]屏東縣潮州鎮三和里華巖街1號
08BEAC2529C4	屏東縣縣立霧臺國小(2020)	[902]屏東縣霧臺鄉霧臺村中山巷44號
08BEAC2529FC	屏東縣縣立霧臺國小-勵古百合分校(2020)	[902]屏東縣霧臺鄉霧臺村11鄰文化街200號
08BEAC252A90	屏東縣縣立麟洛國小(2020)	[909]屏東縣麟洛鄉麟趾村中華路86號
08BEAC252A8E	屏東縣縣立麟洛國中(2020)	[909]屏東縣麟洛鄉中山路2號
08BEAC252A80	屏東縣縣立鹽埔國小(2020)	[907]屏東縣鹽埔鄉鹽南村光復路90號
08BEAC252A7A	屏東縣縣立仕絨國小(2020)	[907]屏東縣鹽埔鄉仕絨村東平街11號
08BEAC2528C2	屏東縣縣立高朗國小(2020)	[907]屏東縣鹽埔鄉高朗村民治路37號
08BEAC252A8A	屏東縣縣立新圍國小(2020)	[907]屏東縣鹽埔鄉新二村維新路67號
08BEAC252A7C	屏東縣縣立彭厝國小(2020)	[907]屏東縣鹽埔鄉洛陽村七份路21號
08BEAC2528A6	屏東縣縣立振興國小(2020)	[907]屏東縣鹽埔鄉振興村光明路36號
08BEAC252A9E	屏東縣縣立鹽埔國中(2020)	[907]屏東縣鹽埔鄉鹽南村勝利路30號
