08BEAC0A004C	雲林縣縣立台西國中	[636]雲林縣台西鄉中山路四○八號
08BEAC0A0662	雲林縣縣立崙背國中	[637]雲林縣崙背鄉大成路九一號
08BEAC0A0428	雲林縣縣立石榴國中	[640]雲林縣斗六市榴中里光復路六六號
08BEAC0A0310	雲林縣縣立雲林國中	[640]雲林縣斗六市明德路五九九號
08BEAC0A04E8	雲林縣縣立斗六國中	[640]雲林縣斗六市育英北街六九號
08BEAC0A07D4	雲林縣縣立林內國中	[643]雲林縣林內鄉烏麻村長源200號
08BEAC0A050C	雲林縣縣立古坑國中	[646]雲林縣古坑鄉朝陽村朝陽路二號
08BEAC0A0488	雲林縣縣立東和國中	[646]雲林縣古坑鄉東和村文化路一三○號
08BEAC0A0690	雲林縣縣立莿桐國中	[647]雲林縣莿桐鄉農校路一號
08BEAC0A02B2	雲林縣縣立西螺國中	[648]雲林縣西螺鎮興農西路二一七號
08BEAC0A02B0	雲林縣縣立二崙國中	[649]雲林縣二崙鄉崙西村中正路八八號
08BEAC0A03AC	雲林縣縣立建國國中	[651]雲林縣北港鎮大同路四六八號
08BEAC0A0658	雲林縣縣立北港國中	[651]雲林縣北港鎮民生路一○二號
08BEAC0A024A	雲林縣縣立水林國中	[652]雲林縣水林鄉水北村水林路二號
08BEAC0A0672	雲林縣縣立蔦松國中	[652]雲林縣水林鄉松北路一之一號
08BEAC0A0466	雲林縣縣立口湖國中	[653]雲林縣口湖鄉湖東村五二號
08BEAC0A0896	雲林縣縣立宜梧國中	[653]雲林縣口湖鄉梧南村光明路一號
08BEAC0A0300	雲林縣縣立飛沙國中	[654]雲林縣四湖鄉飛沙村大同路八一號
08BEAC0A065A	雲林縣縣立四湖國中	[654]雲林縣四湖鄉湖西村中正路二號
08BEAC0A06B4	雲林縣縣立元長國中	[655]雲林縣元長鄉元南路十六號
08BEAC0A0890	雲林縣縣立斗南高中	[630]雲林縣斗南鎮中山路二一二號
08BEAC0A025E	雲林縣縣立麥寮高中	[638]雲林縣麥寮鄉中興路三一○巷一號
08BEAC0A024C	雲林縣私立維多利亞小學	[640]雲林縣斗六市鎮南路1110號
08BEAC0A024E	雲林縣私立淵明代用國中	[643]雲林縣林內鄉公園路三號
08BEAC0A032A	雲林縣私立東南代用國中	[648]雲林縣西螺鎮西興路一五二號
08BEAC0A05B2	雲林縣私立福智國中	[646]雲林縣古坑鄉麻園村4鄰平和路20號
08BEAC0A074C	雲林縣私立揚子高中	[632]雲林縣虎尾鎮潁川里林森路二段541號
08BEAC0A0740	雲林縣私立永年高中	[633]雲林縣土庫鎮建國路13號
08BEAC0A0228	雲林縣私立正心高中	[640]雲林縣斗六市虎溪里正心路1號
08BEAC0A084C	雲林縣私立文生高中	[654]雲林縣四湖鄉中正路509號
