08BEAC0A06BE	臺南市市立公誠國小	[730]臺南市新營區公誠街5號
08BEAC0A0854	臺南市市立新民國小	[730]臺南市新營區公園路一段136號
08BEAC0A0410	臺南市市立新生國小	[730]臺南市新營區姑爺里52號
08BEAC0A0714	臺南市市立南梓實驗小學	[730]臺南市新營區建業路191號
08BEAC0A06D4	臺南市市立新營區新興國小	[730]臺南市新營區太南里316號
08BEAC0A03A0	臺南市市立新橋國小	[730]臺南市新營區鐵線里1號
08BEAC0A019A	臺南市市立土庫國小	[730]臺南市新營區土庫里71之1號
08BEAC0A01AC	臺南市市立新進國小	[730]臺南市新營區中正路41號
08BEAC0A00F0	臺南市市立新營國小	[730]臺南市新營區中正路4號
08BEAC0A0388	臺南市市立後壁國小	[731]臺南市後壁區後壁里195號
08BEAC0A00B4	臺南市市立永安國小	[731]臺南市後壁區嘉田里48之5號
08BEAC0A00CA	臺南市市立菁寮國小	[731]臺南市後壁區墨林里282號
08BEAC0A00E0	臺南市市立新東國小	[731]臺南市後壁區仕安里81號
08BEAC0A01EA	臺南市市立樹人國小	[731]臺南市後壁區烏樹里145號
08BEAC0A0384	臺南市市立新嘉國小	[731]臺南市後壁區新嘉里210之2號
08BEAC0A0252	臺南市市立安溪國小	[731]臺南市後壁區長安里5號
08BEAC0A0304	臺南市市立大竹國小	[732]臺南市白河區大竹里3號
08BEAC0A02B6	臺南市市立河東國小	[732]臺南市白河區河東里83之1號
08BEAC0A0682	臺南市市立內角國小	[732]臺南市白河區內角里1號
08BEAC0A0260	臺南市市立仙草國小	[732]臺南市白河區仙草里22號
08BEAC0A04BE	臺南市市立白河國小	[732]臺南市白河區永安里三民路448號
08BEAC0A0732	臺南市市立玉豐國小	[732]臺南市白河區玉豐里85號
08BEAC0A00E8	臺南市市立竹門國小	[732]臺南市白河區竹門里113號
08BEAC0A00FA	臺南市市立吉貝耍國小	[733]臺南市東山區東河里15號
08BEAC0A00D8	臺南市市立東原國小	[733]臺南市東山區東原里23鄰8號
08BEAC0A00DC	臺南市市立東山國小	[733]臺南市東山區東中里青葉路二段49號
08BEAC0A0316	臺南市市立青山國小	[733]臺南市東山區青山里16號
08BEAC0A00D4	臺南市市立聖賢國小	[733]臺南市東山區聖賢里田尾29號
08BEAC0A0226	臺南市市立嘉南國小	[734]臺南市六甲區龍湖里珊瑚路301號
08BEAC0A02DC	臺南市市立林鳳國小	[734]臺南市六甲區中社里林鳳營240號
08BEAC0A00D2	臺南市市立六甲國小	[734]臺南市六甲區中正路319號
08BEAC0A00C0	臺南市市立賀建國小	[735]臺南市下營區賀建里麻豆寮49號
08BEAC0A04A0	臺南市市立甲中國小	[735]臺南市下營區紅甲里71號
08BEAC0A01C4	臺南市市立中營國小	[735]臺南市下營區開化里270號
